,Partition_1,Partition_2,Partition_3,Partition_4,Partition_5,Partition_6,Partition_7,Partition_8,Partition_9,Partition_10,Recall
partition_01_replis,1000,795,810,784,830,794,809,803,812,815,80.57777778
partition_02_replis,809,1000,833,789,820,808,819,830,823,799,81.44444444
partition_03_replis,794,788,1000,769,807,793,787,798,809,780,79.16666667
partition_04_replis,802,782,813,1000,824,797,797,816,799,807,80.41111111
partition_05_replis,794,785,800,769,1000,785,798,804,794,800,79.21111111
partition_06_replis,791,780,795,780,804,1000,796,797,787,794,79.15555556
partition_07_replis,780,783,794,767,812,782,1000,793,797,784,78.8
partition_08_replis,785,768,795,767,788,782,784,1000,794,777,78.22222222
partition_09_replis,800,798,813,801,818,790,814,822,1000,811,80.74444444
partition_10_replis,803,786,791,787,819,788,800,796,804,1000,79.71111111
,,,,,,,,,,,
,,,,,,,,,,Avg. Recall,79.74444444
